visit,seed,dan,friend,site,visible,selected
0,831464990,2,True,dan,0,0
0,831464990,2,True,friend,2,2
1,718211218,0,False,dan,3,3
1,718211218,0,False,friend,0,0
2,-453956301,1,True,dan,2,2
2,-453956301,1,True,friend,2,2
3,1178961439,2,False,dan,0,0
3,1178961439,2,False,friend,0,0
