time,speed,grounded,timer,visible
0.000,0.000,0,0.000,False
0.008,0.000,0,0.000,False
0.017,0.000,0,0.000,False
0.025,0.360,4,0.000,False
0.038,0.360,4,0.000,False
0.047,0.717,4,0.000,False
0.055,0.717,4,0.000,False
0.063,1.071,4,0.000,False
0.072,1.072,4,0.000,False
0.080,1.423,4,0.000,False
0.088,1.423,4,0.000,False
0.097,1.423,4,0.000,False
0.105,1.772,4,0.000,False
0.113,1.772,4,0.000,False
0.122,2.117,4,0.000,False
0.130,2.117,4,0.000,False
0.138,2.117,4,0.000,False
0.147,2.460,4,0.000,False
0.155,2.460,4,0.000,False
0.164,2.800,4,0.000,False
0.172,2.800,4,0.000,False
0.180,3.137,4,0.000,False
0.189,3.137,4,0.000,False
0.197,3.137,4,0.000,False
0.205,3.472,4,0.000,False
0.214,3.472,4,0.000,False
0.222,3.803,4,0.000,False
0.230,3.803,4,0.000,False
0.239,3.803,4,0.000,False
0.247,4.132,4,0.000,False
0.255,4.132,4,0.000,False
0.264,4.459,4,0.000,False
0.272,4.459,4,0.000,False
0.280,4.783,4,0.000,False
0.289,4.783,4,0.000,False
0.297,4.783,4,0.000,False
0.305,5.105,4,0.020,False
0.314,5.105,4,0.020,False
0.322,5.424,4,0.040,False
0.330,5.424,4,0.040,False
0.339,5.424,4,0.040,False
0.347,5.742,4,0.060,False
0.355,5.742,4,0.060,False
0.364,6.057,4,0.080,False
0.372,6.057,4,0.080,False
0.380,6.370,4,0.100,False
0.390,6.369,4,0.100,False
0.398,6.369,4,0.100,False
0.406,6.680,4,0.120,False
0.415,6.680,4,0.120,False
0.423,6.989,4,0.140,False
0.431,6.989,4,0.140,False
0.440,7.296,4,0.160,False
0.448,7.296,4,0.160,False
0.456,7.296,4,0.160,False
0.465,7.600,4,0.180,False
0.473,7.600,4,0.180,False
0.482,7.903,4,0.200,False
0.490,7.903,4,0.200,False
0.499,7.903,4,0.200,False
0.507,8.204,4,0.220,False
0.517,8.204,4,0.220,False
0.525,8.503,4,0.240,False
0.533,8.503,4,0.240,False
0.542,8.800,4,0.260,False
0.550,8.800,4,0.260,False
0.558,8.800,4,0.260,False
0.567,9.096,4,0.280,False
0.575,9.096,4,0.280,False
0.583,9.389,4,0.300,False
0.592,9.389,4,0.300,False
0.600,9.681,4,0.320,False
0.608,9.681,4,0.320,False
0.617,9.681,4,0.320,False
0.625,9.971,4,0.340,False
0.633,9.971,4,0.340,False
0.642,10.259,4,0.360,False
0.650,10.259,4,0.360,False
0.658,10.259,4,0.360,False
0.667,10.546,4,0.380,False
0.675,10.545,4,0.380,False
0.684,10.830,4,0.400,False
0.692,10.830,4,0.400,False
0.700,11.113,4,0.420,False
0.709,11.113,4,0.420,False
0.717,11.113,4,0.420,False
0.725,11.394,4,0.440,False
0.734,11.394,4,0.440,False
0.742,11.673,4,0.460,False
0.750,11.673,4,0.460,False
0.759,11.673,4,0.460,False
0.767,11.951,4,0.480,False
0.775,11.951,4,0.480,False
0.784,12.227,4,0.500,False
0.792,12.227,4,0.500,False
0.800,12.501,4,0.520,False
0.809,12.501,4,0.520,False
0.817,12.501,4,0.520,False
0.825,12.774,4,0.540,False
0.834,12.774,4,0.540,False
0.842,13.045,4,0.560,False
0.850,13.045,4,0.560,False
0.859,13.045,4,0.560,False
0.867,13.314,4,0.580,False
0.875,13.314,4,0.580,False
0.884,13.582,4,0.600,False
0.892,13.582,4,0.600,False
0.900,13.848,4,0.620,False
0.909,13.848,4,0.620,False
0.917,13.848,4,0.620,False
0.925,14.112,4,0.640,False
0.934,14.112,4,0.640,False
0.942,14.375,4,0.660,False
0.950,14.375,4,0.660,False
0.959,14.375,4,0.660,False
0.967,14.636,4,0.680,False
0.975,14.636,4,0.680,False
0.984,14.895,4,0.700,False
0.992,14.895,4,0.700,False
1.000,15.153,4,0.720,False
1.009,15.153,4,0.720,False
1.017,15.153,4,0.720,False
1.025,15.409,4,0.740,False
1.034,15.409,4,0.740,False
1.042,15.664,4,0.760,False
1.050,15.664,4,0.760,False
1.059,15.664,4,0.760,False
1.067,15.917,4,0.780,False
1.075,15.917,4,0.780,False
1.084,16.168,4,0.800,False
1.092,16.168,4,0.800,False
1.100,16.418,4,0.820,False
1.109,16.418,4,0.820,False
1.117,16.418,4,0.820,False
1.125,16.666,4,0.840,False
1.134,16.666,4,0.840,False
1.142,16.913,4,0.860,False
1.150,16.913,4,0.860,False
1.159,16.913,4,0.860,False
1.167,17.158,4,0.880,False
1.175,17.158,4,0.880,False
1.184,17.402,4,0.900,False
1.192,17.402,4,0.900,False
1.200,17.644,4,0.920,False
1.209,17.644,4,0.920,False
1.217,17.644,4,0.920,False
1.225,17.884,4,0.940,False
1.234,17.884,4,0.940,False
1.242,18.124,4,0.960,False
1.250,18.124,4,0.960,False
1.259,18.124,4,0.960,False
1.267,18.361,4,0.980,False
1.275,18.361,4,0.980,False
1.284,18.597,4,1.000,False
1.292,18.597,4,1.000,False
1.300,18.832,4,1.020,False
1.309,18.832,4,1.020,False
1.317,18.832,4,1.020,False
1.325,19.065,4,1.040,False
1.334,19.065,4,1.040,False
1.342,19.297,4,1.060,False
1.350,19.297,4,1.060,False
1.359,19.297,4,1.060,False
1.367,19.527,4,1.080,False
1.375,19.527,4,1.080,False
1.384,19.756,4,1.100,False
1.392,19.756,4,1.100,False
1.400,19.983,4,1.120,False
1.409,19.983,4,1.120,False
1.417,19.983,4,1.120,False
1.425,20.209,4,1.140,False
1.434,20.209,4,1.140,False
1.442,20.433,4,1.160,False
1.450,20.433,4,1.160,False
1.459,20.433,4,1.160,False
1.467,20.656,4,1.180,False
1.475,20.656,4,1.180,False
1.484,20.878,4,1.200,False
1.492,20.878,4,1.200,False
1.500,21.098,4,1.220,False
1.509,21.098,4,1.220,False
1.517,21.098,4,1.220,False
1.525,21.317,4,1.240,False
1.534,21.317,4,1.240,False
1.542,21.535,4,1.260,False
1.550,21.535,4,1.260,False
1.559,21.535,4,1.260,False
1.567,21.751,4,1.280,False
1.575,21.751,4,1.280,False
1.584,21.966,4,1.300,False
1.592,21.966,4,1.300,False
1.600,22.179,4,1.320,False
1.609,22.179,4,1.320,False
1.617,22.179,4,1.320,False
1.625,22.392,4,1.340,False
1.634,22.392,4,1.340,False
1.642,22.603,4,1.360,False
1.650,22.603,4,1.360,False
1.659,22.602,4,1.360,False
1.667,22.812,4,1.380,False
1.675,22.812,4,1.380,False
1.684,23.020,4,1.400,False
1.692,23.020,4,1.400,False
1.700,23.227,4,1.420,False
1.709,23.227,4,1.420,False
1.717,23.227,4,1.420,False
1.725,23.433,4,1.440,False
1.734,23.433,4,1.440,False
1.742,23.638,4,1.460,False
1.751,23.638,4,1.460,False
1.759,23.638,4,1.460,False
1.767,23.841,4,1.480,False
1.776,23.841,4,1.480,False
1.784,24.043,4,1.500,False
1.792,24.043,4,1.500,False
1.801,24.244,4,1.520,False
1.809,24.244,4,1.520,False
1.817,24.244,4,1.520,False
1.826,24.443,4,1.540,False
1.834,24.443,4,1.540,False
1.842,24.641,4,1.560,False
1.851,24.641,4,1.560,False
1.859,24.641,4,1.560,False
1.867,24.838,4,1.580,False
1.876,24.838,4,1.580,False
1.884,25.034,4,1.600,False
1.892,25.034,4,1.600,False
1.901,25.229,4,1.620,False
1.909,25.229,4,1.620,False
1.917,25.229,4,1.620,False
1.926,25.422,4,1.640,False
1.934,25.422,4,1.640,False
1.942,25.615,4,1.660,False
1.951,25.615,4,1.660,False
1.959,25.615,4,1.660,False
1.967,25.806,4,1.680,False
1.976,25.806,4,1.680,False
1.984,25.996,4,1.700,False
1.992,25.996,4,1.700,False
2.001,26.185,4,1.720,False
2.009,26.185,4,1.720,False
2.017,26.185,4,1.720,False
2.026,26.372,4,1.740,False
2.034,26.372,4,1.740,False
2.042,26.559,4,1.760,False
2.051,26.559,4,1.760,False
2.059,26.559,4,1.760,False
2.067,26.744,4,1.780,False
2.076,26.744,4,1.780,False
2.084,26.928,4,1.800,False
2.092,26.928,4,1.800,False
2.101,27.111,4,1.820,False
2.109,27.111,4,1.820,False
2.117,27.111,4,1.820,False
2.126,27.293,4,1.840,False
2.134,27.293,4,1.840,False
2.142,27.474,4,1.860,False
2.151,27.474,4,1.860,False
2.159,27.474,4,1.860,False
2.167,27.654,4,1.880,False
2.176,27.654,4,1.880,False
2.184,27.833,4,1.900,False
2.192,27.833,4,1.900,False
2.201,28.010,4,1.920,False
2.209,28.010,4,1.920,False
2.217,28.010,4,1.920,False
2.226,28.187,4,1.940,False
2.234,28.187,4,1.940,False
2.243,28.362,4,1.960,False
2.251,28.362,4,1.960,False
2.259,28.362,4,1.960,False
2.267,28.536,4,1.980,False
2.276,28.536,4,1.980,False
2.284,28.710,4,2.000,False
2.292,28.710,4,2.000,False
2.301,28.882,4,2.020,False
2.309,28.882,4,2.020,False
2.317,28.882,4,2.020,False
2.326,29.053,4,2.040,False
2.334,29.053,4,2.040,False
2.342,29.223,4,2.060,False
2.351,29.223,4,2.060,False
2.359,29.392,4,2.080,False
2.367,29.392,4,2.080,False
2.376,29.392,4,2.080,False
